iter	RMSE
0	1.268270817
1	1.182147807
2	1.114127845
3	1.055026113
4	0.9934997137
5	0.9328413929
6	0.888902612
7	0.8442997134
8	0.7984466804
9	0.7592552267
10	0.7261231452
11	0.6895033603
12	0.6602961719
13	0.632950584
14	0.6045792026
15	0.5841169476
16	0.559063952
17	0.5380019729
18	0.5199396444
19	0.5067542304
20	0.4938809938
21	0.480975379
22	0.4686752626
23	0.4585074144
24	0.4485963428
25	0.4406819573
26	0.4322376324
27	0.4240992868
28	0.4170094013
29	0.4104292735
30	0.3981735856
31	0.3937450169
32	0.3892965505
33	0.3840239805
34	0.3797104654
35	0.3755965238
36	0.372746369
37	0.3695413726
38	0.3625035308
39	0.3600457088
40	0.3571020859
41	0.3550300861
42	0.3488619228
43	0.3472181523
44	0.34633738
45	0.3437381876
46	0.3382170929
47	0.3367399718
48	0.332512788
49	0.3290321647
50	0.3272009375
51	0.3261185173
52	0.3230788492
53	0.3213520364
54	0.3205274653
55	0.3165343266
56	0.3149931028
57	0.3115515835
58	0.3108385453
59	0.3094833314
60	0.3077622803
61	0.3072036577
62	0.306090842
63	0.3035523169
64	0.3008092536
65	0.3000057618
66	0.2984445135
67	0.297811359
68	0.2973479245
69	0.2966954874
70	0.2965722869
71	0.2957461355
72	0.2954569433
73	0.2945337289
74	0.29267625
75	0.2900443016
76	0.2891862219
77	0.288842898
78	0.2887296166
79	0.2871517617
80	0.2843975146
81	0.2833124079
82	0.2830690086
83	0.2825705174
84	0.2822832959
85	0.2809013285
86	0.279560053
87	0.2788873087
88	0.2774517462
89	0.2772715042
90	0.2766993221
91	0.2750207849
92	0.2748082762
93	0.2732412311
94	0.2730470188
95	0.2720279163
96	0.2718900524
97	0.2714579001
98	0.2712504267
99	0.2708116506
100	0.2703595392
101	0.2688066519
102	0.2672749059
103	0.2666082912
104	0.2659095508
105	0.265304427
106	0.2646239951
107	0.2632745378
108	0.2619967004
109	0.2614228183
110	0.2607234587
111	0.2604302427
112	0.2594706403
113	0.2590689254
114	0.2587663163
115	0.2578224098
116	0.2571683471
117	0.2565510088
118	0.2560344875
119	0.2554244328
120	0.2537853876
121	0.2531458579
122	0.2527197256
123	0.2523482525
124	0.2519928636
125	0.251486858
126	0.2513536114
127	0.2501725422
128	0.2495722489
129	0.2493089396
130	0.2491806314
131	0.2480864521
132	0.2464960436
133	0.2458117931
134	0.245636462
135	0.2452088083
136	0.2449420074
137	0.2447467817
138	0.2439582526
139	0.2434711527
140	0.2428973157
141	0.2428240455
142	0.2419981113
143	0.2415980579
