iter	Passed	Remaining
0	163	81523
1	181	45226
2	200	33163
3	217	27020
4	234	23235
5	255	21004
6	274	19365
7	295	18153
8	316	17258
9	337	16524
10	359	15986
11	382	15540
12	398	14917
13	420	14608
14	439	14210
15	460	13919
16	481	13685
17	507	13595
18	531	13442
19	550	13210
20	574	13094
21	611	13296
22	706	14662
23	752	14924
24	804	15278
25	831	15150
26	854	14965
27	880	14835
28	901	14647
29	922	14451
30	942	14258
31	957	14000
32	977	13831
33	1001	13731
34	1023	13594
35	1045	13480
36	1067	13356
37	1089	13241
38	1109	13112
39	1129	12987
40	1149	12869
41	1172	12790
42	1192	12676
43	1212	12566
44	1232	12461
45	1253	12370
46	1272	12267
47	1291	12163
48	1313	12088
49	1332	11996
50	1354	11927
51	1380	11895
52	1402	11826
53	1422	11745
54	1439	11643
55	1459	11568
56	1479	11497
57	1498	11418
58	1518	11350
59	1539	11290
60	1560	11231
61	1583	11187
62	1602	11118
63	1625	11071
64	1646	11018
65	1669	10976
66	1695	10958
67	1721	10937
68	1748	10920
69	1770	10874
70	1782	10767
71	1805	10734
72	1826	10682
73	1844	10620
74	1865	10572
75	1891	10552
76	1923	10567
77	1953	10567
78	1975	10526
79	1996	10480
80	2016	10430
81	2036	10379
82	2057	10335
83	2076	10284
84	2095	10232
85	2116	10190
86	2139	10154
87	2160	10113
88	2178	10059
89	2197	10009
90	2217	9967
91	2238	9927
92	2256	9876
93	2276	9830
94	2296	9791
95	2318	9755
96	2338	9717
97	2365	9704
98	2389	9679
99	2416	9665
100	2437	9631
101	2457	9587
102	2476	9546
103	2494	9499
104	2515	9462
105	2535	9422
106	2553	9378
107	2573	9340
108	2593	9302
109	2611	9258
110	2630	9218
111	2650	9181
112	2674	9160
113	2697	9134
114	2719	9103
115	2740	9071
116	2764	9049
117	2788	9028
118	2810	8997
119	2834	8975
120	2858	8951
121	2885	8941
122	2922	8956
123	2945	8931
124	2968	8906
125	2992	8881
126	3014	8854
127	3037	8827
128	3063	8811
129	3089	8793
130	3114	8771
131	3137	8746
